vehicle,ecu,did,service,job_arg,direction,routine_phase,idx,byte_offset,name,type,unit,mul,div,add,mask,min,max,value_table,description_en,description_de
BMW i3 / i3s (I01),SME,0x6334,22,ALTERUNG_INNENWIDERSTAND_TS,result,,0,0,STAT_ALTERUNG_INNENWIDERSTAND_WERT,unsigned long,%,1.0,1.0,0.0,,,,,"Aging of the internal resistance in percent: Internal resistance of the storage tank when new is related to the current value of the internal resistance (R_neu / R_akt) * 100 (100% = new condition, decreases with aging)","Alterung des Innenwiderstands in Prozent: Innenwiderstand des Speichers im Neuzustand auf den aktuellen Wert des Innenwiderstands bezogen  (R_neu /R_akt) *100   (100% = Neuzustand, sinkt mit Alterung)"
BMW i3 / i3s (I01),SME,0x6335,22,ALTERUNG_KAPAZITAET_TS,result,,0,0,STAT_ALTERUNG_KAPAZITAET_WERT,unsigned long,%,1.0,1.0,0.0,,,,,Remaining capacity of the memory,Restkapazitaet des Speichers
BMW i3 / i3s (I01),SME,0x6500,2E,_SOC_GRENZEN,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6500,2E,_SOC_GRENZEN,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not activate, 1 = activate","0=nicht ansteuern, 1=ansteuern"
BMW i3 / i3s (I01),SME,0x6501,2E,_ISOLATION,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6501,2E,_ISOLATION,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not activate, 1 = activate","0=nicht ansteuern, 1=ansteuern"
BMW i3 / i3s (I01),SME,0x6502,2E,_UEBERLAST_SCHWELLE,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6502,2E,_UEBERLAST_SCHWELLE,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not activate, 1 = activate","0=nicht ansteuern, 1=ansteuern"
BMW i3 / i3s (I01),SME,0x6503,2E,_KURZSCHLUSS_STROMGRENZE,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6503,2E,_KURZSCHLUSS_STROMGRENZE,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not activate, 1 = activate","0=nicht ansteuern, 1=ansteuern"
BMW i3 / i3s (I01),SME,0x6504,2E,_LADE_SPANNUNGSGRENZE,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6504,2E,_LADE_SPANNUNGSGRENZE,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not activate, 1 = activate","0=nicht ansteuern, 1=ansteuern"
BMW i3 / i3s (I01),SME,0x6506,2E,_SCHUETZ_K1,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6506,2E,_SCHUETZ_K1,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_SCHUETZE_STEUERN,"0 = do not trigger contactors, 1 = close contactors, 2 = open contactors","0 = Schuetze nicht ansteuern, 1 = Schuetze schliessen, 2 = Schuetze oeffnen"
BMW i3 / i3s (I01),SME,0x6507,2E,_SCHUETZ_K2,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6507,2E,_SCHUETZ_K2,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_SCHUETZE_STEUERN,"0 = do not trigger contactors, 1 = close contactors, 2 = open contactors","0 = Schuetze nicht ansteuern, 1 = Schuetze schliessen, 2 = Schuetze oeffnen"
BMW i3 / i3s (I01),SME,0x6508,2E,_SCHUETZ_K3,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6508,2E,_SCHUETZ_K3,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_SCHUETZE_STEUERN,"0 = do not trigger contactors, 1 = close contactors, 2 = open contactors","0 = Schuetze nicht ansteuern, 1 = Schuetze schliessen, 2 = Schuetze oeffnen"
BMW i3 / i3s (I01),SME,0x650B,2E,_ENTLADE_SPANNUNGSGRENZE,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x650B,2E,_ENTLADE_SPANNUNGSGRENZE,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not activate, 1 = activate","0=nicht ansteuern, 1=ansteuern"
BMW i3 / i3s (I01),SME,0x6511,2E,_SYM_MODUS,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6511,2E,_SYM_MODUS,arg,,1,4,AKTION,unsigned char,0-n,,,,,,,TAB_SYM_MODUS,"0 = normal mode, 1 = voltage-controlled mode, 3 = time-controlled balancing, 4 = no balancing, 5 = decision by software, no influence by control job","0=Normalmodus, 1=Spannungsgesteuerter Modus, 3=Zeitgesteuertes Balancing, 4=keine Symmetrierung, 5=Entscheidung durch SW, keinen Einfluss durch Steuern-Job"
BMW i3 / i3s (I01),SME,0x6512,2E,_MESSBOTSCHAFTEN,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
BMW i3 / i3s (I01),SME,0x6512,2E,_MESSBOTSCHAFTEN,arg,,1,4,AKTION,unsigned char,0/1,1.0,1.0,0.0,,,,,"0 = do not send, 1 = send","0=nicht senden, 1=senden"
BMW i3 / i3s (I01),SME,0x6516,22,_ST_SYM_MODUS,result,,0,0,STAT_SYM_MODUS,unsigned char,0-n,1.0,1.0,0.0,,,,TAB_SYM_MODUS,Status of the balancing,Status der Symmetrierung
BMW i3 / i3s (I01),SME,0x6519,2E,_CSC_STANDBY,arg,,0,0,PASSWORT,unsigned long,HEX,1.0,1.0,0.0,,,,,Password for executing the developer job,Passwort zur Ausführung des Entwicklerjobs
