vehicle,generation,ecu,role,diag_addr,did,service,service_type,job_arg,description_en,description_de,n_result_fields,n_arg_fields,single_result_type,single_result_unit,sources,only_in_2012_sgbd
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6334,22,read,ALTERUNG_INNENWIDERSTAND_TS,"Aging of the internal resistance in percent: Internal resistance of the storage tank when new is related to the current value of the internal resistance (R_neu / R_akt) * 100 (100% = new condition, decreases with aging)","Alterung des Innenwiderstands in Prozent: Innenwiderstand des Speichers im Neuzustand auf den aktuellen Wert des Innenwiderstands bezogen  (R_neu /R_akt) *100   (100% = Neuzustand, sinkt mit Alterung)",1,0,unsigned long,%,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6335,22,read,ALTERUNG_KAPAZITAET_TS,Remaining capacity of the memory,Restkapazitaet des Speichers,1,0,unsigned long,%,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6500,2E,write,_SOC_GRENZEN,State of charge limit values,State of Charge Grenzwerte,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6501,2E,write,_ISOLATION,Insulation monitoring,Isolationsüberwachung,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6502,2E,write,_UEBERLAST_SCHWELLE,Charge and discharge current limits,Lade- und Entladestromgrenzen,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6503,2E,write,_KURZSCHLUSS_STROMGRENZE,Short circuit current limit,Kurzschluss Stromgrenze,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6504,2E,write,_LADE_SPANNUNGSGRENZE,Load voltage limit,Lade Spannungsgrenze,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6506,2E,write,_SCHUETZ_K1,K1 contactor,K1 Schütz,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6507,2E,write,_SCHUETZ_K2,K2 contactor,K2 Schütz,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6508,2E,write,_SCHUETZ_K3,K3 contactor,K3 Schütz,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x650B,2E,write,_ENTLADE_SPANNUNGSGRENZE,Discharge voltage limit,Entlade-Spannungsgrenze,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0x6511,2E,write,_SYM_MODUS,Symmetry mode of the SEM,Symmetriemodus der SEM,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
