ecu,diag_addr_i3,kind,id,request,followup,sweep,names,expected_payload_len,layout_differs,vehicles,relevance,description_en
SME,0x07,did,0x100A,22 10 0A,,,Energy saving mode status,,,"Gen5 (iX, i4, i5, i7 platform) (community)",battery,"Energy saving mode status | community layout: Gen5 (iX, i4, i5, i7 platform): byte 0"
SME,0x07,did,0x6334,22 63 34,,,ALTERUNG_INNENWIDERSTAND_TS,4,,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,"Aging of the internal resistance in percent: Internal resistance of the storage tank when new is related to the current value of the internal resistance (R_neu / R_akt) * 100 (100% = new condition, decreases with aging)"
SME,0x07,did,0x6335,22 63 35,,,ALTERUNG_KAPAZITAET_TS,4,,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Remaining capacity of the memory
SME,0x07,did,0x6516,22 65 16,,,_ST_SYM_MODUS,1,,BMW i3 / i3s (I01) | ActiveHybrid 3/5/7 (F30/F10/F01),battery,Status of the balancing
SME,0x07,did,0x651D,22 65 1D,,,_UEBERLAST_ZAHELER,16,,BMW i3 / i3s (I01),battery,Diagnostic job to read out the overload failures that have occurred for warranty returns
SME,0x07,did,0x6526,22 65 26,,,_STATUS_UEBERNAHME_KAPATEST_NV,1,,BMW i3 / i3s (I01),battery,"Current setting of the transfer of the results of a capacity test to the SoH_C estimator (0: no transfer, 1: transfer (standard))"
SME,0x07,did,0xA860,22 A8 60,,,EOL readings incl. isolation,,,"Gen5 (iX, i4, i5, i7 platform) (community)",battery,"EOL readings incl. isolation | community layout: Gen5 (iX, i4, i5, i7 platform): 28-31 iso positive, 32-35 iso negative, 36-39 iso parallel (u32, units unconfirmed)"
SME,0x07,did,0xAC93,22 AC 93,,,Pyro fuse status,,,"Gen5 (iX, i4, i5, i7 platform) (community)",battery,"Pyro fuse status | community layout: Gen5 (iX, i4, i5, i7 platform): 0 PSS1, 1 PSS4, 2 PSS6"
SME,0x07,did,0xD4C5,22 D4 C5,,,RB_SOC_REKALIBRIERUNG,255,,BMW i3 / i3s (I01),battery,Reading out the battery status BEFORE and AFTER the last 5 SOC recalibrations
SME,0x07,did,0xD4C6,22 D4 C6,,,RB_SOH_ADAPTION,295,,BMW i3 / i3s (I01),battery,This job is no longer requested and is no longer supported (all returns deliver '0')
SME,0x07,did,0xD4C7,22 D4 C7,,,SOC_GUETE,1,,BMW i3 / i3s (I01),battery,"Reading out the current SOC quality value based on the SOC estimate (1 == best quality,> 30 == worst quality)"
SME,0x07,did,0xD4C8,22 D4 C8,,,HIS_SOC_GUETE,20,,BMW i3 / i3s (I01),battery,Reading out the length of stay in 5 classes of the SOC quality value based on the SOC estimate
SME,0x07,did,0xD4C9,22 D4 C9,,,ANZAHL_OCV_SOC_REKAL,4,,BMW i3 / i3s (I01),battery,Number of OCV-SOC recalibrations
SME,0x07,did,0xD4CA,22 D4 CA,,,ANZAHL_LADEENDE_REKAL,4,,BMW i3 / i3s (I01),battery,Number of SoC recalibrations at the end of charging
SME,0x07,did,0xD4CB,22 D4 CB,,,RB_SOC_VOLLADEENDE,50,,BMW i3 / i3s (I01),battery,Reading out different SOCs of the last 5 full charges
SME,0x07,did,0xD4CC,22 D4 CC,,,KUEHLDAUER_HVB,9,,BMW i3 / i3s (I01),battery,Job is not relevant for SME_03 // Replacement is STATUS_KUEHLDAUER Cooling time of the HV battery
SME,0x07,did,0xD67F,22 D6 7F,,,LADUNGSVERLUST_ZELLE,22,,BMW i3 / i3s (I01),battery,Ring memory for the loss of charge in the cells
SME,0x07,did,0xD681,22 D6 81,,,STATUS_MIN_KAPAZITAET_MOD,12,,BMW i3 / i3s (I01),battery,"Reading of the current minimum capacity of ALL modules, based on the capacity quotient."
